gene_symbol,mean_log2_NNK,mean_log2_WT,log2FC,statistic,p.value,p_adj
CACYBP,7.600502117803804,8.010681537462636,-0.4101794196588324,-2.322941078905604,0.0260841855318199,0.04729209899092569
ADAMTSL4,5.351160894603555,6.120217945752882,-0.7690570511493267,-2.35528995074842,0.026106721479952466,0.047327942256970096
FBXO3,9.497034958850245,9.18327564912588,0.3137593097243645,2.3272093395657594,0.026129652913669085,0.04736449481320732
DLL4,6.57266590001933,5.921180400181046,0.6514854998382837,2.3431063593189183,0.02614907202084386,0.0473946736023516
RP11-110G21.2,3.225081325316105,3.9944666396153017,-0.7693853142991967,-2.3150169978504587,0.026154333525208327,0.04739918834208306
CTC-303L1.2,2.9861800126518263,3.6110686236714615,-0.6248886110196352,-2.3041895785400106,0.026158946673973466,0.04740252724270078
NDUFB2,8.068722738058966,7.707364869083975,0.36135786897499145,2.326747478368251,0.026170957529766156,0.047419269372933635
RP11-214K3.20,5.447044882606444,5.8491410417363285,-0.4020961591298846,-2.3063701908321104,0.02617883116581623,0.04742349042617366
GTF2F1,8.267263983994765,8.014148024310312,0.2531159596844521,2.3047287144097575,0.026177428074850177,0.04742349042617366
DHX40,8.914921528192945,9.234847696639031,-0.3199261684460861,-2.314318372656216,0.026184928032225947,0.04742612112996982
ZNF507,9.238088955082775,9.460888801623847,-0.2227998465410721,-2.314210621327962,0.026185827694277235,0.04742612112996982
LIG3,8.41625826551353,8.787190853621079,-0.37093258810754826,-2.3273562670281747,0.026211093762843418,0.04746685636654231
XPNPEP3,9.039885211566725,8.799759612753943,0.2401255988127815,2.31412557351525,0.026216636606190197,0.0474718690790328
ANKRD20A4,5.033822837855461,4.018191438930579,1.0156313989248824,2.3030201565298904,0.026230511027533862,0.047491965568742654
FAM32A,7.807169897938633,8.026511298653535,-0.21934140071490216,-2.302703460118022,0.026238079625648794,0.047500641929693076
TRAF3IP3,4.854396335565963,5.796779121926135,-0.9423827863601719,-2.333184731816306,0.026245635844534588,0.04750929404595257
SECISBP2L,10.557276178202844,10.319517916310389,0.23775826189245564,2.320352886706697,0.026251296078944598,0.047514512623633536
